Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.8879310344827587,0.8373983739837398,0.8619246861924686,0.7010906019729994,0.8506787330316742
resource,0.40625,0.4482758620689655,0.4262295081967213,0.33516919871067,0.8416289592760181
feature,0.6931818181818182,0.953125,0.8026315789473685,0.7237813017916133,0.8642533936651584
test,0.8,0.5714285714285714,0.6666666666666666,0.63850195324852,0.9276018099547512
refactor,0.1111111111111111,0.8823529411764706,0.19736842105263158,0.16074760739013738,0.4479638009049774
merge,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7646848793979866,0.9864253393665159
deprecate,0.14285714285714285,1.0,0.25,0.3727747831614136,0.9728506787330317
Micro Average,0.5297029702970297,0.7955390334572491,0.6359583952451708,0.5581414381591382,0.8416289592760181
Macro Average,0.5535234914237378,0.7724094947062088,0.5677216614695179,0.5281071893819058,0.8416289592760181
Weighted Average,0.7272322786992381,0.7955390334572491,0.7338377635731855,0.6268118478642744,0.8394758532523676
