Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.6363636363636364,0.7241379310344828,0.6774193548387096,0.44156595363056844,0.7245179063360881
resource,0.46153846153846156,0.24,0.3157894736842105,0.21845158386225502,0.7851239669421488
feature,0.3418803418803419,0.6779661016949152,0.45454545454545453,0.33524373731094526,0.7355371900826446
test,0.7,0.3465346534653465,0.46357615894039733,0.37616353366244665,0.7768595041322314
refactor,0.11659192825112108,0.7878787878787878,0.203125,0.11275196000205466,0.4380165289256198
merge,0.0,0.0,0.0,-0.010788296300052576,0.977961432506887
deprecate,0.03333333333333333,1.0,0.06451612903225806,0.1751084904435372,0.9201101928374655
Micro Average,0.3588516746411483,0.5369928400954654,0.43021032504780116,0.29915130829124165,0.7654466745375836
Macro Average,0.3271011001952706,0.5395024962962189,0.31128165300586147,0.2354995660873935,0.7654466745375836
Weighted Average,0.528973553758168,0.5369928400954654,0.4828568782294102,0.3389613631416838,0.7304614818175242
