Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.8841201716738197,0.8917748917748918,0.8879310344827587,0.6638610966598164,0.8505747126436781
resource,0.7777777777777778,0.603448275862069,0.6796116504854369,0.5568460463897046,0.8103448275862069
feature,0.48333333333333334,0.8055555555555556,0.6041666666666666,0.49508239397957265,0.7816091954022989
test,0.7142857142857143,0.5813953488372093,0.6410256410256411,0.543464240085161,0.8390804597701149
refactor,0.22167487684729065,0.9574468085106383,0.36,0.2998584255643967,0.5402298850574713
merge,0.0,0.0,0.0,0.0,0.9971264367816092
deprecate,0.045454545454545456,1.0,0.08695652173913043,0.2066487212651556,0.9396551724137931
Micro Average,0.5826558265582655,0.776173285198556,0.6656346749226006,0.5587097368566922,0.8226600985221675
Macro Average,0.44666377419606873,0.6913744115057663,0.46567021634280475,0.3951087034205439,0.8226600985221675
Weighted Average,0.7240915650987785,0.776173285198556,0.7212674766638487,0.5679240188560798,0.8055002282252376
