Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.6404494382022472,0.7862068965517242,0.7058823529411765,0.48265441343347204,0.7382920110192838
resource,0.6666666666666666,0.29333333333333333,0.4074074074074074,0.3593267882314659,0.8236914600550964
feature,0.515625,0.559322033898305,0.5365853658536586,0.44277626528053665,0.8429752066115702
test,0.7346938775510204,0.7128712871287128,0.7236180904522613,0.6194200083280413,0.8484848484848485
refactor,0.3,0.9090909090909091,0.45112781954887216,0.44848710618104326,0.7988980716253443
merge,0.0,0.0,0.0,-0.017740845175368378,0.9641873278236914
deprecate,0.05555555555555555,1.0,0.10526315789473684,0.23010126684101853,0.953168044077135
Micro Average,0.5450901803607214,0.649164677804296,0.5925925925925926,0.5064693443044244,0.8528138528138528
Macro Average,0.4161415054250699,0.6086892085718549,0.41855488487115894,0.36643214330288704,0.8528138528138528
Weighted Average,0.61443121892013,0.649164677804296,0.6029712211362241,0.47866608855092085,0.8028626468635147
