Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9302325581395349,0.975609756097561,0.9523809523809523,0.8906715180326019,0.9457013574660633
resource,0.8421052631578947,0.5517241379310345,0.6666666666666666,0.6457170246766809,0.9276018099547512
feature,0.84,0.984375,0.9064748201438849,0.8697427196308856,0.9411764705882353
test,0.9,0.9642857142857143,0.9310344827586207,0.921357841265952,0.9819004524886877
refactor,0.5,1.0,0.6666666666666666,0.6770032003863301,0.9230769230769231
merge,1.0,0.8571428571428571,0.9230769230769231,0.9236645203640779,0.995475113122172
deprecate,0.2,1.0,0.3333333333333333,0.44312936752559784,0.9819004524886877
Micro Average,0.8389261744966443,0.929368029739777,0.8818342151675485,0.8570856704387094,0.9566903684550744
Macro Average,0.7446196887567755,0.9047339236367381,0.7685191207181497,0.7673265988403036,0.9566903684550744
Weighted Average,0.8680284657350993,0.929368029739777,0.8873150543154112,0.8481701838739734,0.946441487661693
