Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9449152542372882,0.9653679653679653,0.9550321199143469,0.8638182597580517,0.9396551724137931
resource,0.9557522123893806,0.9310344827586207,0.9432314410480349,0.9155757988799365,0.9626436781609196
feature,0.9,0.875,0.8873239436619719,0.8585846825902527,0.9540229885057471
test,0.8735632183908046,0.8837209302325582,0.8786127167630058,0.8384863461168677,0.9396551724137931
refactor,0.5584415584415584,0.9148936170212766,0.6935483870967742,0.6603015480087344,0.8908045977011494
merge,0.3333333333333333,1.0,0.5,0.5756840311719595,0.9942528735632183
deprecate,0.0,0.0,0.0,-0.00408142867171927,0.9913793103448276
Micro Average,0.8741496598639455,0.927797833935018,0.9001751313485113,0.8703054539062887,0.9532019704433498
Macro Average,0.6522865109703379,0.7957167136257743,0.6939640869263048,0.6726241768362975,0.9532019704433498
Weighted Average,0.894673652938046,0.927797833935018,0.9071697809397384,0.8506904493603648,0.9423835013900995
