Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.7,0.6275862068965518,0.6618181818181819,0.45835948026727674,0.743801652892562
resource,0.6410256410256411,0.3333333333333333,0.43859649122807015,0.37225747873451603,0.8236914600550964
feature,0.4931506849315068,0.6101694915254238,0.5454545454545454,0.4496042974540659,0.8347107438016529
test,0.6538461538461539,0.6732673267326733,0.6634146341463415,0.531126959807939,0.8099173553719008
refactor,0.2857142857142857,0.8484848484848485,0.42748091603053434,0.412081691846067,0.7933884297520661
merge,0.0,0.0,0.0,-0.015320925683975674,0.9696969696969697
deprecate,0.058823529411764705,1.0,0.1111111111111111,0.23711515010673556,0.9559228650137741
Micro Average,0.5331905781584583,0.594272076372315,0.5620767494356659,0.4709498848449617,0.8473042109405746
Macro Average,0.40465147070419316,0.5846916009961187,0.40683941139839774,0.34931773321894644,0.8473042109405746
Weighted Average,0.6066794033038824,0.594272076372315,0.5781934386073009,0.44942987681824015,0.7939472836413604
