Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9846153846153847,0.8311688311688312,0.9014084507042254,0.766684063329103,0.8793103448275862
resource,0.8958333333333334,0.7413793103448276,0.8113207547169812,0.7364853795464743,0.8850574712643678
feature,0.746031746031746,0.6527777777777778,0.6962962962962963,0.6257545016201727,0.882183908045977
test,0.8041237113402062,0.9069767441860465,0.8524590163934426,0.8027520978502874,0.9224137931034483
refactor,0.5970149253731343,0.851063829787234,0.7017543859649122,0.659983818793965,0.9022988505747126
merge,0.0,0.0,0.0,0.0,0.9971264367816092
deprecate,0.058823529411764705,1.0,0.1111111111111111,0.23687803884917663,0.9540229885057471
Micro Average,0.8299065420560747,0.8014440433212996,0.8154269972451791,0.762507870834052,0.9174876847290641
Macro Average,0.58377751858651,0.7119094990378166,0.582050002169567,0.5469339857127399,0.917487684729064
Weighted Average,0.8706683581666301,0.8014440433212996,0.8282977177878651,0.7362517052533512,0.8898761359392507
