Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9555555555555556,0.6991869918699187,0.8075117370892019,0.6657009290202702,0.8144796380090498
resource,0.55,0.3793103448275862,0.4489795918367347,0.39124047626444197,0.8778280542986425
feature,0.7011494252873564,0.953125,0.8079470198675497,0.7311211156685105,0.8687782805429864
test,0.75,0.42857142857142855,0.5454545454545454,0.5235003762475483,0.9095022624434389
refactor,0.2,0.8235294117647058,0.3218390804597701,0.3144777372734326,0.7330316742081447
merge,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7646848793979866,0.9864253393665159
deprecate,0.0,0.0,0.0,-0.011262765836674168,0.9683257918552036
Micro Average,0.6406779661016949,0.7026022304832714,0.6702127659574468,0.5978358447524087,0.8797672915319974
Macro Average,0.5700054734537494,0.5711441273313362,0.5287089634197958,0.4827803925765023,0.8797672915319973
Weighted Average,0.7754283638849722,0.7026022304832714,0.7069946770331564,0.6147383009013966,0.8440175612710054
