Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.6637931034482759,0.5310344827586206,0.5900383141762452,0.3698660451694465,0.7052341597796143
resource,0.5357142857142857,0.2,0.2912621359223301,0.234999981097551,0.7988980716253443
feature,0.38,0.6440677966101694,0.4779874213836478,0.36345985600187086,0.7713498622589532
test,0.7068965517241379,0.40594059405940597,0.5157232704402516,0.41713051494351705,0.7878787878787878
refactor,0.1889763779527559,0.7272727272727273,0.3,0.250243442128473,0.6914600550964187
merge,0.0,0.0,0.0,-0.00879639829559047,0.9807162534435262
deprecate,0.02702702702702703,1.0,0.05263157894736842,0.1560104367773364,0.9008264462809917
Micro Average,0.4188034188034188,0.4677804295942721,0.4419391206313416,0.32510535660194145,0.8051948051948052
Macro Average,0.3574867636952118,0.5011879429572748,0.31823467440997755,0.2547019825460863,0.8051948051948052
Weighted Average,0.5644591185016166,0.4677804295942721,0.47169965514266904,0.34176599207835484,0.7539004714096925
