Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,1.0,0.6796536796536796,0.8092783505154639,0.6452382185989417,0.7873563218390804
resource,0.9558823529411765,0.5603448275862069,0.7065217391304348,0.6508115489670627,0.8448275862068966
feature,0.46774193548387094,0.8055555555555556,0.5918367346938775,0.4791025070365572,0.7701149425287356
test,0.7380952380952381,0.36046511627906974,0.484375,0.42169378496502524,0.8103448275862069
refactor,0.41379310344827586,0.7659574468085106,0.5373134328358209,0.4708460486273361,0.8218390804597702
merge,0.0,0.0,0.0,0.0,0.9971264367816092
deprecate,0.037037037037037035,1.0,0.07142857142857142,0.18509977750847126,0.9252873563218391
Micro Average,0.689108910891089,0.628158844765343,0.6572237960339944,0.563267512660383,0.8509852216748769
Macro Average,0.5160785238579427,0.5959966608404317,0.45725054694345263,0.4075416979576278,0.8509852216748767
Weighted Average,0.8276557322586853,0.628158844765343,0.6832012193517578,0.5733214408901667,0.8042709241047346
