Row,z_1,z_2
bnd_pnt_1,-2.91239781034878,0.750256685436048
bnd_pnt_2,-2.28549741997946,1.05250524031407
bnd_pnt_3,-2.89734642687853,0.50258109367614
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-1.20105064081752,1.79190450162292
bnd_pnt_6,-0.709811814803754,1.87377872622703
bnd_pnt_7,-1.54840895443809,1.26317753162407
bnd_pnt_8,NaN,NaN
bnd_pnt_9,-0.537131873658462,-0.773399081152672
bnd_pnt_10,-0.967483895603629,-0.731190120506854
bnd_pnt_11,0.145841747499446,-0.241142343899562
bnd_pnt_12,NaN,NaN
bnd_pnt_13,-0.3426348331017,2.22534565248105
bnd_pnt_14,0.320331376110791,2.3415633254174
bnd_pnt_15,0.498468827223992,2.21271945800432
bnd_pnt_16,-0.709811814803754,1.87377872622703
bnd_pnt_17,NaN,NaN
bnd_pnt_18,2.16862553616247,2.59395715605332
bnd_pnt_19,2.79689512005684,2.91787260052737
bnd_pnt_20,3.16625548567855,0.734585405475879
bnd_pnt_21,2.95840690250563,0.638430353883628
bnd_pnt_22,NaN,NaN
bnd_pnt_23,3.52687692376829,2.97316681516253
bnd_pnt_24,3.97479391877966,2.50431727583008
bnd_pnt_25,2.79689512005684,2.91787260052737
bnd_pnt_26,NaN,NaN
bnd_pnt_27,3.97479391877966,2.50431727583008
bnd_pnt_28,4.52053043363292,2.27184801636874
bnd_pnt_29,4.51991917676607,1.86629351908223
bnd_pnt_30,NaN,NaN
bnd_pnt_31,4.51991917676607,1.86629351908223
bnd_pnt_32,4.90038057578179,1.22259133536585
bnd_pnt_33,4.48190020716858,0.865492473750839
bnd_pnt_34,3.79612459640773,0.6304319573862
bnd_pnt_35,NaN,NaN
bnd_pnt_36,2.15837932450731,0.527978927240785
bnd_pnt_37,2.16096016932894,-0.524403000415491
bnd_pnt_38,1.62450494654299,-0.178621638678645
bnd_pnt_39,0.68444222249984,-0.00536591514916283
bnd_pnt_40,NaN,NaN
bnd_pnt_41,-3.23711571102961,-0.151611166305266
bnd_pnt_42,-3.06184842717101,0.0346389873532345
bnd_pnt_43,-1.66377312063419,-0.444850949873114
bnd_pnt_44,-2.13251163780383,-1.15223075190086
bnd_pnt_45,-3.17411658649504,-1.02504565036134
bnd_pnt_46,-3.12783623433036,-0.673615342539375
bnd_pnt_47,NaN,NaN
bnd_pnt_48,-2.03204282009427,-3.47245838783087
bnd_pnt_49,-0.805243071108183,-3.56909759907644
bnd_pnt_50,-0.112258680776518,-3.03729582614225
bnd_pnt_51,-0.111970674131704,-4.05697157312635
bnd_pnt_52,-0.611089505278863,-4.09338082329205
bnd_pnt_53,-1.24220117329512,-4.44383059712722
bnd_pnt_54,-1.8634717692616,-4.41835521961263
bnd_pnt_55,NaN,NaN
bnd_pnt_56,-0.112258680776518,-3.03729582614225
bnd_pnt_57,0.497418999293258,-2.8636347435001
bnd_pnt_58,0.645388568287636,-3.05024778439557
bnd_pnt_59,1.27703238900039,-3.04758939053251
bnd_pnt_60,1.4844640796395,-2.56938731779444
bnd_pnt_61,1.70614132727659,-2.52652417914643
bnd_pnt_62,1.970751542966,-3.13549596960312
bnd_pnt_63,1.28628232688491,-3.33907373240333
bnd_pnt_64,0.984894823104008,-3.72309207590044
bnd_pnt_65,0.412974077583744,-3.81374772578739
bnd_pnt_66,NaN,NaN
bnd_pnt_67,2.82905724496271,-2.13183702833938
bnd_pnt_68,3.33219355965048,-1.94440310069043
bnd_pnt_69,2.76096855971542,-2.26981765945226
bnd_pnt_70,2.14310326525151,-2.15719760971961
