Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_7214,0,6,0,0,0,1,0,6.956828033,24.58823529,7.12987013
OpenStack_5899,0,3,0,0,0,3,0.389975,8.299048559,35.05882353,7.567049808
OpenStack_2432,1,0,0,127,1,1,0,5.824368798,22.05263158,7.23245614
OpenStack_4072,1,56,0,17281,420,19,0.257542476,17.63328793,67.10526316,6.287671233
OpenStack_222,0,12,0,2247,72,21,1.145477549,18.85436247,70.73684211,5.971722365
OpenStack_4854,0,27,0,0,0,3,0,6.898616423,24.19047619,7.371710526
OpenStack_6333,1,52,0,2552,72,22,0.896096513,19.43739004,66.63157895,5.730526316
OpenStack_5158,0,49,0,0,0,0,0,5.469196742,19.95,6.831858407
OpenStack_3951,0,10,0,484,16,1,0,6.988796909,25.16666667,7.262096774
OpenStack_2446,0,23,0,0,0,18,0,9.897126383,44.12,7.042079208
OpenStack_6709,5,235,0,60536,1643,5,4.107579971,54.14100015,169.45,6.208487085
OpenStack_899,1,1,0,1248,55,4,0,7.412094801,30.27777778,6.648351648
OpenStack_3832,0,17,0,0,0,6,0,6.364094038,26.15789474,6.788
OpenStack_3795,1,5,0,3322,71,64,0.439154534,25.96163542,88.94594595,5.902702703
OpenStack_6847,2,184,1,9002,66,9841,12.11860776,100.1845611,280.3559322,5.513027158
OpenStack_4093,1,53,0,5960,168,40,0.510240379,18.15417404,65.19230769,5.816691505
OpenStack_5050,0,12,0,0,0,5,0,5.918657918,22.80952381,6.926070039
OpenStack_6736,2,134,0,28962,548,29,0.879748351,13.259302,58.72727273,7.044692737
OpenStack_4696,0,120,0,0,0,24,1.47436842,15.79196783,57.52380952,7.941649899
OpenStack_244,2,8,0,570,14,110,0.476324735,18.10047183,68.03333333,7.063400576
OpenStack_2089,0,20,0,0,0,3,0,6.893367667,30.38095238,7.302013423
OpenStack_1317,66,124,139,59143,1090,19186,12.6886871,114.4313187,320.7962963,5.680095682
OpenStack_2069,0,2,0,0,0,0,0,6.438707386,23.27272727,6.598639456
OpenStack_2942,0,16,0,1604,55,0,0,7.584279222,27.41176471,7.097165992
OpenStack_4119,0,79,0,0,0,5,0,8.390570319,34.76470588,6.868613139
OpenStack_5458,1,3,0,1963,64,1,1.048737905,6.520854607,29.17857143,6.95443038
OpenStack_7567,0,21,0,5681,190,4,0,7.19005584,29.23809524,7.701639344
OpenStack_5692,0,2,0,0,0,1,0,6.979775558,28.05882353,6.6625
