Row,z_1,z_2
bnd_pnt_1,-1.22365043820635,-3.7373731875528
bnd_pnt_2,-0.798215667172814,-4.24269207631348
bnd_pnt_3,-1.09590835387685,-4.05293172926345
bnd_pnt_4,NaN,NaN
bnd_pnt_5,1.45598662210894,-3.08951093418841
bnd_pnt_6,1.7236359999131,-2.76669969737434
bnd_pnt_7,2.37361827679525,-2.7334538732114
bnd_pnt_8,NaN,NaN
bnd_pnt_9,-1.75458138727322,-3.85757375655719
bnd_pnt_10,-1.94837056365283,-3.33903297298285
bnd_pnt_11,-1.22365043820635,-3.7373731875528
bnd_pnt_12,NaN,NaN
bnd_pnt_13,1.65411661467313,-3.00174629387308
bnd_pnt_14,1.63902150452867,-3.01849021257549
bnd_pnt_15,1.66563885468347,-3.00816221722059
bnd_pnt_16,NaN,NaN
bnd_pnt_17,2.28841517969611,-2.7510188448747
bnd_pnt_18,2.30891703163347,-2.73676326532299
bnd_pnt_19,2.29301808546237,-2.73757647760209
bnd_pnt_20,NaN,NaN
bnd_pnt_21,2.25478892878528,1.57575081816119
bnd_pnt_22,2.48433120452709,2.21061584547492
bnd_pnt_23,3.29948134334964,1.6804462141667
bnd_pnt_24,2.8644335931121,1.78145791548352
bnd_pnt_25,2.84855228758677,1.97372824879321
bnd_pnt_26,2.75334241902737,2.03565227788541
bnd_pnt_27,2.7446753329775,1.80926402549412
bnd_pnt_28,2.52584196728034,1.86007392064226
