Row,IsBetaEasy
Android_21048,1
Android_22345,0
Android_21527,0
Android_14746,0
Android_22313,0
Android_14395,0
Android_18698,0
Android_21505,0
Android_15404,0
Android_15367,0
Android_23554,0
Android_11817,1
Android_23810,1
Android_22071,0
Android_23670,0
Android_16931,0
Android_15977,1
Android_16302,0
Android_18726,0
Android_20238,0
Android_11512,1
Android_15690,1
Android_13772,0
Android_12770,0
Android_24098,1
Android_20854,0
Android_16937,1
Android_18362,1
Android_24210,1
Android_12211,0
Android_20170,0
Android_22675,1
Android_18597,1
Android_8657,1
Android_10873,0
Android_23611,0
Android_12479,1
Android_19496,0
Android_22348,0
Android_13540,0
Android_23091,1
Android_15742,0
Android_19277,0
Android_16299,0
Android_22639,0
Android_15975,0
Android_12353,1
Android_21414,1
Android_21660,0
Android_8697,1
Android_17542,0
Android_21685,0
Android_31451,0
Android_8313,1
Android_22491,0
Android_15079,0
Android_20956,0
Android_22039,1
Android_20848,1
Android_20563,0
Android_20861,1
Android_20881,0
Android_21607,1
Android_22764,1
Android_16730,1
Android_23746,1
Android_16850,0
Android_13604,0
Android_21991,0
Android_18879,0
Android_22228,1
Android_20855,1
Android_16709,0
Android_24261,0
Android_16556,1
Android_22386,1
Android_14532,0
Android_9449,0
Android_17210,1
Android_24271,0
Android_20473,0
Android_11834,1
Android_11810,1
Android_23528,0
Android_22721,1
Android_12712,0
Android_18577,0
Android_14311,1
Android_24069,0
Android_14728,1
Android_23372,0
Android_14807,1
Android_23519,1
Android_15519,0
Android_10979,1
Android_15095,0
Android_21985,0
Android_15840,1
Android_14110,0
Android_22624,1
Android_20302,0
Android_22018,0
Android_11375,0
Android_16457,0
Android_11062,1
Android_23086,0
Android_14538,0
Android_17480,0
Android_22743,0
Android_23845,0
Android_15509,0
Android_16193,0
Android_23042,1
Android_15581,0
Android_19379,0
Android_9737,1
Android_8662,0
Android_15685,0
Android_24299,1
Android_21103,1
Android_23156,1
Android_16938,1
Android_22766,1
Android_23797,1
Android_20620,1
Android_23512,0
Android_21089,0
Android_23680,0
Android_21793,1
Android_14121,0
Android_15584,0
Android_13025,0
Android_16107,1
Android_14432,1
Android_15504,1
Android_14393,0
Android_16806,1
Android_10852,1
Android_21658,0
Android_31015,0
Android_24175,0
Android_23126,0
Android_18903,0
Android_17050,0
Android_14087,1
Android_22859,1
Android_14837,0
Android_19306,0
Android_12200,0
Android_20716,0
Android_20965,0
Android_12730,0
Android_23268,1
Android_12563,0
Android_21898,0
Android_22788,1
Android_18975,1
Android_20204,0
Android_22392,0
Android_17509,0
Android_22457,0
Android_13386,1
Android_17272,0
Android_18911,1
Android_14431,1
Android_12918,0
