Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.8834080717488789,0.8528138528138528,0.8678414096916299,0.6209257708623553,0.8275862068965517
resource,0.7849462365591398,0.6293103448275862,0.6985645933014354,0.5785541095567549,0.8189655172413793
feature,0.47115384615384615,0.6805555555555556,0.5568181818181818,0.4258995638987661,0.7758620689655172
test,0.7391304347826086,0.3953488372093023,0.5151515151515151,0.4451674982031467,0.8160919540229885
refactor,0.7727272727272727,0.3617021276595745,0.4927536231884058,0.4846692402136154,0.8994252873563219
merge,0.0,0.0,0.0,0.0,0.9971264367816092
deprecate,0.0,0.0,0.0,-0.009698769872814294,0.9655172413793104
Micro Average,0.7414829659318637,0.6678700361010831,0.7027540360873694,0.6224617647419123,0.8715106732348111
Macro Average,0.5216236945673922,0.4171043882951245,0.44730418902159547,0.36364534469454635,0.8715106732348111
Weighted Average,0.774237372107246,0.6678700361010831,0.7022711518872337,0.5456047991771419,0.8239242292211295
